,Polyph,SproutN,BunchN,GrapeW,WoodW,SPAD06,NDVI06,SPAD08,NDVI08,Acid,Potass,Brix,pH,Anthoc,Treatment
1,0.057343583,0.061611906,-0.179899405,-0.263634082,0.335881618,0.155208786,-0.040297945,-0.019056094,-0.178394692,-0.006052308,0.123608134,-0.026323116,0.01786072,0.453246622,T4b
2,-0.684987033,0.469200984,0.900715876,1.691411381,0.618755286,0.165316196,0.173875004,0.100414557,0.024748263,-0.082001268,-0.112742895,-0.187981343,0.007267091,-0.857722647,T5b
3,0.0041846,-0.024497225,0.26197712,-0.18103771,-0.395465363,-0.120719937,-0.199674983,-0.165308802,0.044979302,-0.00784685,-0.106664518,0.046360311,0.001583695,-0.201655061,T3a
4,-0.363171668,-0.065286873,-0.640146161,-0.660988336,0.183694014,0.041935185,-0.006565503,0.068088632,0.079179916,-0.056860894,-0.127205016,0.045586279,0.019977401,-0.648650109,T2b
5,-0.023102059,0.273459251,-0.030195852,0.15194147,-0.453442116,-0.052977044,0.083026842,-0.017554731,-0.146035824,0.173131001,-0.080519695,-0.031946837,-0.051105358,0.015283528,T8a
6,-0.349367248,-0.124449834,0.152493987,0.159387069,0.001973208,-0.091083849,0.082100264,-0.005870259,-0.039778292,-0.018957974,0.026480455,-0.062528261,-0.018984332,-0.360178522,T5a
7,-0.318189658,-0.053616305,0.396154481,0.741083895,0.129355591,-0.054482805,-0.088968619,0.00649356,-0.021767256,0.112462671,-0.044498019,-0.091015031,-0.017662012,-0.299587173,T1a
8,0.26441743,-0.043868289,0.012396402,-0.792289341,-0.759138935,-0.204253924,-0.121868285,-0.183172798,-0.268711075,0.175121768,-0.096090616,0.0891974,-0.02112501,0.418284916,T8b
9,-0.00731394,0.176910019,-0.036187551,0.335642308,0.21654706,0.103454123,0.15547877,0.08317238,-0.009841164,-0.172293646,0.145371875,-0.041554654,0.03024669,-0.009295807,T6a
10,-0.023602387,0.447486083,0.124165925,0.577420237,0.624746879,0.266656732,0.127183503,0.092063143,0.127090971,-0.056854157,-0.037992337,-0.166545216,0.001037536,-0.25508346,T5a
11,-0.08216528,0.20300069,-0.276436998,-0.198470512,0.130079537,0.036072236,-0.00020069,0.018790873,0.160412199,-0.108907171,0.02302487,0.021618242,0.057876211,-0.253160423,T7b
12,-0.183652212,0.156563849,-0.136509718,0.084602745,0.043914255,0.029326794,0.041218261,0.006984859,-0.02305374,-0.061504512,0.01344656,-0.008211685,0.029622141,-0.224694679,T6b
13,-0.574385142,0.219855618,-0.020066614,0.294685432,0.09385773,-0.103372478,-0.080723547,-0.00170155,-0.032528159,-0.054219955,0.106356826,-0.075474299,-0.040713693,-0.189725764,T5b
14,-0.369085394,0.318097844,0.545063162,0.837040858,0.611025258,0.10581278,-0.050680054,-0.037117995,0.062059725,-0.121399769,0.194649568,-0.018382732,0.020005203,-0.392246509,T5b
