"","A","S","E","O","R","T"
"1","adult","M","high","emp","small","train"
"2","adult","F","uni","emp","big","car"
"3","young","M","high","emp","big","other"
"4","old","M","high","emp","big","other"
"5","old","M","high","emp","big","car"
"6","adult","F","high","emp","small","train"
"7","old","F","high","emp","big","car"
"8","young","F","high","emp","small","car"
"9","young","F","uni","emp","big","car"
"10","adult","M","uni","emp","small","car"
"11","adult","M","uni","emp","big","car"
"12","young","M","high","emp","big","car"
"13","adult","F","high","emp","small","train"
"14","young","F","high","emp","big","car"
"15","adult","F","uni","emp","big","car"
"16","young","F","high","emp","big","car"
"17","young","M","high","emp","small","car"
"18","adult","F","uni","emp","big","car"
"19","adult","M","uni","self","big","car"
"20","old","F","high","emp","big","other"
"21","old","F","high","emp","big","car"
"22","adult","F","uni","emp","small","train"
"23","old","M","high","emp","big","car"
"24","young","F","uni","emp","small","train"
"25","young","M","high","emp","small","train"
"26","young","M","high","emp","big","train"
"27","old","M","high","emp","small","car"
"28","young","M","high","emp","big","car"
"29","old","F","high","emp","big","other"
"30","adult","M","high","emp","big","car"
"31","young","M","high","emp","small","train"
"32","young","M","high","emp","big","car"
"33","old","F","high","emp","big","car"
"34","old","F","high","emp","big","car"
"35","old","M","high","emp","big","car"
"36","adult","M","high","emp","big","train"
"37","adult","M","high","emp","small","car"
"38","adult","F","high","emp","big","car"
"39","young","M","high","emp","small","other"
"40","adult","F","high","emp","big","other"
"41","old","F","high","emp","small","train"
"42","adult","M","high","emp","big","car"
"43","adult","M","high","emp","big","car"
"44","young","F","uni","emp","big","car"
"45","adult","M","uni","emp","small","car"
"46","old","M","high","emp","big","other"
"47","old","F","high","self","small","car"
"48","adult","M","high","emp","big","other"
"49","adult","M","high","emp","big","train"
"50","young","F","uni","emp","big","other"
"51","adult","F","high","emp","big","car"
"52","young","M","high","emp","big","car"
"53","young","F","high","emp","big","car"
"54","adult","M","high","emp","small","car"
"55","old","F","high","emp","big","other"
"56","adult","F","high","emp","small","car"
"57","adult","M","high","emp","small","train"
"58","young","M","uni","emp","big","train"
"59","young","M","high","emp","big","train"
"60","adult","F","uni","emp","small","car"
"61","young","M","uni","emp","small","car"
"62","old","F","high","emp","big","car"
"63","old","M","high","emp","big","other"
"64","adult","F","high","emp","big","car"
"65","adult","M","high","emp","big","other"
"66","adult","F","high","emp","big","car"
"67","old","F","high","emp","big","car"
"68","adult","F","high","emp","big","train"
"69","old","M","high","emp","big","car"
"70","adult","F","uni","emp","small","car"
"71","old","F","high","emp","small","train"
"72","adult","M","high","emp","big","car"
"73","adult","M","high","emp","big","car"
"74","adult","M","high","emp","small","train"
"75","old","M","high","emp","big","other"
"76","old","F","high","emp","big","car"
"77","young","M","high","emp","big","train"
"78","adult","F","high","emp","big","other"
"79","adult","F","uni","emp","big","other"
"80","adult","M","uni","emp","small","car"
"81","adult","M","high","emp","small","car"
"82","young","M","high","emp","big","other"
"83","old","F","high","emp","big","car"
"84","adult","M","high","self","big","train"
"85","young","M","high","emp","small","train"
"86","adult","F","high","emp","small","car"
"87","adult","F","high","self","big","car"
"88","young","M","high","emp","small","train"
"89","old","M","high","emp","small","train"
"90","young","F","high","emp","big","car"
"91","young","M","high","emp","big","car"
"92","adult","F","uni","emp","small","train"
"93","adult","F","uni","emp","big","train"
"94","adult","F","uni","emp","big","car"
"95","adult","M","high","emp","small","other"
"96","old","M","high","emp","small","car"
"97","adult","M","high","emp","small","train"
"98","adult","M","high","emp","big","train"
"99","old","F","high","emp","small","car"
"100","young","M","high","emp","small","car"
"101","old","F","uni","emp","big","train"
"102","young","F","high","emp","big","train"
"103","old","F","high","emp","small","car"
"104","adult","M","uni","emp","small","train"
"105","adult","F","high","emp","big","car"
"106","adult","M","high","emp","big","car"
"107","adult","M","high","emp","big","car"
"108","old","F","high","emp","small","train"
"109","young","F","uni","emp","big","train"
"110","adult","M","uni","emp","big","car"
"111","adult","M","high","emp","big","other"
"112","young","M","high","emp","small","car"
"113","old","M","high","emp","big","car"
"114","old","M","high","emp","small","car"
"115","young","M","high","emp","big","car"
"116","adult","M","high","emp","big","car"
"117","young","F","high","emp","small","car"
"118","adult","M","high","emp","small","train"
"119","young","M","uni","emp","big","car"
"120","old","F","high","emp","big","other"
"121","adult","M","high","emp","big","car"
"122","old","M","high","emp","big","car"
"123","adult","M","high","emp","big","train"
"124","young","M","high","emp","big","train"
"125","adult","M","high","emp","big","car"
"126","old","M","high","emp","big","car"
"127","adult","F","high","emp","big","other"
"128","adult","F","high","emp","small","train"
"129","young","F","high","emp","big","car"
"130","young","F","high","emp","big","car"
"131","old","F","high","emp","big","car"
"132","old","M","high","emp","big","train"
"133","old","F","high","emp","big","car"
"134","young","M","high","emp","big","other"
"135","young","M","uni","emp","big","other"
"136","young","M","high","emp","small","train"
"137","young","F","uni","emp","small","car"
"138","adult","F","high","emp","big","car"
"139","young","M","high","emp","big","car"
"140","old","M","uni","emp","big","train"
"141","young","M","uni","emp","big","train"
"142","old","M","high","emp","big","train"
"143","young","M","high","self","big","car"
"144","old","M","high","emp","big","other"
"145","old","M","high","emp","big","other"
"146","old","M","high","emp","big","train"
"147","adult","M","high","emp","big","other"
"148","adult","F","uni","emp","big","train"
"149","adult","F","high","emp","big","train"
"150","adult","F","high","emp","small","car"
"151","adult","F","high","emp","small","car"
"152","adult","M","high","self","big","car"
"153","old","M","high","emp","small","train"
"154","young","M","uni","emp","small","train"
"155","young","M","high","emp","big","train"
"156","adult","M","high","emp","big","car"
"157","young","M","high","emp","big","car"
"158","adult","F","high","emp","big","car"
"159","adult","M","high","emp","big","car"
"160","adult","M","high","emp","big","car"
"161","old","M","high","emp","small","car"
"162","adult","F","high","emp","small","car"
"163","adult","M","uni","self","big","train"
"164","young","M","high","emp","big","train"
"165","adult","M","uni","emp","big","car"
"166","old","M","high","emp","big","car"
"167","old","M","high","self","big","car"
"168","young","M","uni","emp","big","car"
"169","adult","F","high","emp","big","train"
"170","adult","M","high","emp","small","other"
"171","old","M","high","emp","small","train"
"172","old","M","high","emp","small","car"
"173","adult","M","uni","emp","big","car"
"174","adult","M","high","emp","big","car"
"175","young","M","high","emp","big","car"
"176","old","F","high","emp","big","train"
"177","adult","F","uni","emp","big","other"
"178","adult","F","high","emp","big","train"
"179","young","M","uni","emp","big","car"
"180","young","F","high","emp","big","car"
"181","adult","M","high","emp","big","car"
"182","young","F","high","emp","small","train"
"183","young","M","uni","emp","small","car"
"184","adult","F","high","emp","big","car"
"185","old","F","high","emp","big","other"
"186","old","M","uni","emp","big","other"
"187","young","M","high","emp","big","train"
"188","old","M","high","emp","big","car"
"189","young","M","uni","emp","big","other"
"190","young","M","high","emp","big","car"
"191","young","F","high","emp","small","car"
"192","adult","F","uni","emp","big","train"
"193","adult","M","high","emp","big","car"
"194","adult","M","high","emp","big","train"
"195","young","M","high","emp","big","train"
"196","adult","M","high","emp","big","other"
"197","old","M","high","emp","big","train"
"198","young","F","uni","self","big","car"
"199","old","M","high","emp","big","car"
"200","old","F","high","emp","small","car"
"201","adult","M","high","emp","small","train"
"202","old","F","uni","emp","big","car"
"203","young","M","uni","emp","big","car"
"204","adult","M","high","emp","big","train"
"205","young","M","uni","emp","big","car"
"206","adult","F","high","emp","big","train"
"207","young","M","high","emp","big","train"
"208","adult","M","uni","emp","big","car"
"209","adult","F","high","emp","big","car"
"210","young","F","uni","emp","big","car"
"211","young","M","high","emp","big","car"
"212","adult","M","high","emp","big","car"
"213","adult","M","uni","emp","big","car"
"214","adult","F","uni","emp","big","other"
"215","old","M","high","emp","small","train"
"216","young","M","high","emp","big","car"
"217","young","F","high","emp","big","train"
"218","old","F","high","emp","big","car"
"219","adult","M","high","emp","small","car"
"220","old","F","high","emp","big","train"
"221","adult","M","high","emp","big","car"
"222","adult","M","uni","emp","big","car"
"223","adult","F","high","emp","big","train"
"224","adult","M","uni","emp","big","car"
"225","old","M","high","emp","small","train"
"226","old","M","high","emp","small","car"
"227","young","F","uni","emp","big","car"
"228","old","F","high","emp","big","car"
"229","old","M","high","emp","big","car"
"230","young","M","uni","emp","big","car"
"231","adult","F","high","emp","big","car"
"232","adult","M","high","emp","big","car"
"233","old","M","uni","self","small","train"
"234","adult","M","high","emp","small","other"
"235","young","F","high","emp","big","car"
"236","adult","M","high","emp","big","other"
"237","adult","F","high","emp","small","train"
"238","old","F","uni","emp","big","train"
"239","old","F","high","emp","big","car"
"240","adult","F","high","emp","big","car"
"241","old","M","high","emp","small","car"
"242","adult","F","uni","emp","big","car"
"243","adult","M","high","emp","big","car"
"244","young","F","high","emp","big","train"
"245","adult","F","high","emp","big","car"
"246","adult","F","high","emp","big","train"
"247","adult","M","high","emp","small","train"
"248","adult","M","high","emp","big","car"
"249","adult","M","high","emp","big","car"
"250","adult","M","uni","emp","big","train"
"251","adult","F","high","self","big","car"
"252","adult","F","high","emp","big","train"
"253","young","F","high","emp","big","other"
"254","adult","M","high","emp","small","car"
"255","adult","F","uni","emp","big","train"
"256","adult","M","high","emp","big","other"
"257","adult","F","high","emp","big","car"
"258","adult","M","uni","emp","big","car"
"259","adult","M","uni","emp","big","car"
"260","adult","M","high","emp","big","other"
"261","adult","F","high","emp","big","train"
"262","adult","M","high","emp","small","train"
"263","adult","M","high","emp","big","other"
"264","adult","M","high","emp","big","car"
"265","adult","M","high","emp","big","other"
"266","old","F","high","emp","big","other"
"267","adult","M","high","emp","small","car"
"268","adult","M","high","emp","big","other"
"269","adult","F","uni","emp","big","other"
"270","adult","M","uni","emp","small","car"
"271","adult","F","high","emp","big","train"
"272","adult","M","high","emp","big","car"
"273","adult","M","uni","emp","big","car"
"274","adult","M","high","emp","small","train"
"275","young","F","uni","emp","big","car"
"276","young","M","high","emp","big","train"
"277","adult","F","high","emp","big","other"
"278","young","M","high","emp","big","car"
"279","young","M","uni","emp","big","train"
"280","adult","M","high","self","big","car"
"281","young","F","uni","emp","big","car"
"282","adult","M","high","emp","big","car"
"283","adult","F","high","emp","big","car"
"284","adult","M","high","emp","big","other"
"285","old","M","high","emp","small","car"
"286","adult","M","uni","emp","big","other"
"287","adult","M","high","emp","big","car"
"288","old","M","high","emp","big","car"
"289","adult","F","high","emp","big","car"
"290","old","F","uni","emp","big","other"
"291","young","F","high","emp","big","car"
"292","adult","F","high","emp","big","car"
"293","young","M","high","emp","small","train"
"294","adult","F","high","emp","big","train"
"295","adult","F","uni","emp","small","car"
"296","young","F","high","emp","small","train"
"297","young","F","uni","emp","big","train"
"298","young","M","uni","emp","small","car"
"299","old","F","high","emp","big","car"
"300","young","M","uni","emp","small","train"
"301","young","F","uni","emp","small","car"
"302","young","F","uni","emp","big","train"
"303","adult","M","high","emp","big","other"
"304","adult","M","uni","emp","small","car"
"305","adult","F","high","emp","big","train"
"306","adult","M","high","emp","small","train"
"307","young","M","high","emp","big","car"
"308","adult","M","uni","emp","small","car"
"309","old","M","high","emp","big","other"
"310","young","M","uni","emp","small","train"
"311","adult","M","high","emp","big","other"
"312","adult","M","high","emp","big","other"
"313","adult","F","high","emp","big","car"
"314","adult","F","high","emp","big","car"
"315","young","F","uni","emp","big","car"
"316","young","M","high","emp","big","car"
"317","old","F","high","emp","big","car"
"318","old","M","high","emp","big","other"
"319","adult","M","high","emp","big","car"
"320","old","M","high","emp","big","other"
"321","adult","F","uni","emp","big","train"
"322","adult","M","high","emp","big","train"
"323","young","F","high","emp","big","train"
"324","adult","M","high","emp","big","other"
"325","adult","F","high","emp","big","car"
"326","old","M","high","emp","big","train"
"327","adult","F","high","emp","big","car"
"328","old","M","high","emp","big","car"
"329","young","M","uni","emp","big","other"
"330","young","M","uni","emp","small","car"
"331","adult","F","high","emp","big","train"
"332","adult","M","high","emp","small","car"
"333","young","M","high","emp","big","car"
"334","adult","M","uni","emp","small","other"
"335","adult","F","high","self","big","train"
"336","old","M","high","emp","big","car"
"337","adult","F","high","emp","small","train"
"338","adult","M","uni","self","small","train"
"339","young","F","uni","emp","big","car"
"340","adult","F","high","emp","small","car"
"341","young","F","high","emp","big","train"
"342","adult","M","high","emp","big","car"
"343","young","F","high","emp","big","other"
"344","adult","F","high","emp","big","car"
"345","young","M","high","emp","big","car"
"346","young","M","high","emp","small","car"
"347","old","F","high","emp","big","other"
"348","adult","F","high","emp","small","car"
"349","adult","M","high","emp","big","other"
"350","old","M","high","emp","big","car"
"351","adult","M","high","emp","big","train"
"352","young","M","high","emp","small","car"
"353","young","M","uni","emp","big","car"
"354","adult","M","high","emp","big","car"
"355","adult","F","high","emp","small","car"
"356","adult","F","uni","emp","big","car"
"357","adult","M","uni","emp","big","car"
"358","old","F","high","emp","big","train"
"359","young","M","high","emp","big","train"
"360","adult","M","uni","emp","big","train"
"361","adult","F","uni","emp","big","car"
"362","adult","M","high","emp","big","train"
"363","old","M","high","emp","big","car"
"364","adult","F","high","emp","big","train"
"365","young","F","high","emp","big","car"
"366","young","M","high","emp","big","train"
"367","young","F","high","emp","big","train"
"368","adult","F","high","emp","small","car"
"369","old","M","high","emp","big","car"
"370","adult","F","uni","emp","big","car"
"371","adult","F","high","emp","big","other"
"372","young","F","uni","emp","big","car"
"373","old","M","high","emp","small","car"
"374","old","M","uni","emp","big","train"
"375","old","M","high","emp","big","train"
"376","young","M","high","emp","big","car"
"377","adult","F","uni","emp","big","train"
"378","young","M","high","emp","small","train"
"379","young","M","high","emp","big","other"
"380","adult","M","high","emp","big","car"
"381","adult","F","high","emp","big","car"
"382","adult","F","high","emp","big","car"
"383","young","M","uni","emp","small","car"
"384","adult","M","high","emp","big","car"
"385","adult","F","uni","emp","big","train"
"386","young","M","uni","emp","big","car"
"387","old","F","high","self","small","car"
"388","adult","F","uni","emp","big","train"
"389","young","M","uni","emp","big","car"
"390","adult","F","high","emp","small","car"
"391","adult","M","high","emp","big","car"
"392","adult","M","high","emp","small","car"
"393","old","F","high","emp","big","train"
"394","young","F","uni","emp","big","car"
"395","old","F","high","emp","small","car"
"396","old","M","high","emp","big","car"
"397","young","M","high","emp","big","train"
"398","adult","M","uni","emp","big","car"
"399","young","F","uni","emp","big","car"
"400","adult","F","uni","emp","small","car"
"401","young","F","high","emp","small","car"
"402","young","M","high","emp","big","car"
"403","adult","M","high","emp","big","car"
"404","adult","F","uni","emp","big","train"
"405","adult","F","high","emp","big","car"
"406","young","M","high","emp","small","car"
"407","adult","M","high","emp","small","train"
"408","adult","F","high","emp","big","train"
"409","adult","F","uni","emp","big","train"
"410","old","F","high","emp","small","train"
"411","adult","M","high","emp","big","other"
"412","adult","F","high","emp","big","train"
"413","young","M","uni","emp","big","car"
"414","adult","M","high","emp","small","other"
"415","adult","M","high","emp","big","car"
"416","adult","M","high","emp","big","train"
"417","old","M","high","self","big","car"
"418","adult","F","high","emp","small","train"
"419","adult","F","high","emp","big","car"
"420","adult","M","high","emp","big","other"
"421","adult","F","high","emp","big","car"
"422","adult","F","high","emp","big","train"
"423","adult","F","high","emp","small","train"
"424","adult","M","high","emp","small","car"
"425","old","M","high","emp","big","car"
"426","adult","M","high","emp","big","car"
"427","young","M","high","emp","big","other"
"428","old","M","high","emp","big","car"
"429","young","F","high","emp","big","other"
"430","young","M","high","emp","big","car"
"431","adult","M","uni","emp","big","car"
"432","old","F","high","emp","big","car"
"433","young","M","uni","emp","big","train"
"434","adult","F","high","emp","big","car"
"435","adult","F","high","emp","big","train"
"436","old","M","high","emp","big","train"
"437","young","M","high","emp","big","car"
"438","young","F","uni","emp","big","other"
"439","adult","M","high","emp","big","train"
"440","adult","M","high","emp","big","other"
"441","young","F","uni","emp","big","other"
"442","adult","M","high","emp","big","car"
"443","young","F","high","emp","big","car"
"444","adult","F","high","emp","big","car"
"445","adult","F","high","emp","small","car"
"446","young","F","high","emp","big","car"
"447","adult","F","high","emp","big","other"
"448","adult","M","uni","emp","big","car"
"449","old","F","high","emp","big","car"
"450","young","M","high","emp","big","train"
"451","adult","M","uni","emp","big","other"
"452","adult","M","high","emp","small","car"
"453","adult","F","high","emp","big","train"
"454","adult","M","high","emp","big","car"
"455","adult","F","high","emp","big","car"
"456","young","M","uni","emp","big","car"
"457","young","M","high","emp","big","other"
"458","young","F","high","emp","small","car"
"459","adult","M","high","emp","small","car"
"460","adult","F","high","emp","big","other"
"461","adult","M","high","emp","big","car"
"462","adult","F","uni","emp","small","other"
"463","adult","F","uni","emp","big","train"
"464","young","F","high","emp","small","car"
"465","adult","F","high","self","big","car"
"466","old","F","high","emp","big","car"
"467","old","F","high","emp","small","train"
"468","adult","M","high","emp","big","train"
"469","young","F","high","emp","small","car"
"470","adult","M","high","emp","big","train"
